BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	isolate	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	biomaterial_provider	cell_line	sex	tissue
SAMN08038130	SRX3402027	RHM309_3h	819	564	SRR6301043	SRS2696012	RHM309_3h	134	RHM309_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038131	SRX3402026	RHM310_3h	684	466	SRR6301044	SRS2696011	RHM310_3h	135	RHM310_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038128	SRX3402025	RHM293_3h	979	665	SRR6301045	SRS2696010	RHM293_3h	132	RHM293_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038129	SRX3402024	RHM295_3h	819	560	SRR6301046	SRS2696009	RHM295_3h	133	RHM295_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038134	SRX3402023	RHM229_6h	872	592	SRR6301047	SRS2696008	RHM229_6h	138	RHM229_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038135	SRX3402022	RHM237_6h	1131	770	SRR6301048	SRS2696007	RHM237_6h	139	RHM237_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038132	SRX3402021	RHM221_6h	925	630	SRR6301049	SRS2696006	RHM221_6h	136	RHM221_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038133	SRX3402020	RHM222_6h	1245	848	SRR6301050	SRS2696005	RHM222_6h	137	RHM222_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038136	SRX3402019	RHM239_6h	657	449	SRR6301051	SRS2696004	RHM239_6h	140	RHM239_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038137	SRX3402018	RHM244_6h	904	617	SRR6301052	SRS2696003	RHM244_6h	141	RHM244_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038147	SRX3402017	RHM294_6h	822	560	SRR6301053	SRS2696002	RHM294_6h	151	RHM294_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038146	SRX3402016	RHM286_6h	1235	833	SRR6301054	SRS2696001	RHM286_6h	150	RHM286_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038145	SRX3402015	RHM271_6h	955	647	SRR6301055	SRS2696000	RHM271_6h	149	RHM271_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038144	SRX3402014	RHM270_6h	1322	900	SRR6301056	SRS2695999	RHM270_6h	148	RHM270_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038143	SRX3402013	RHM263_6h	946	645	SRR6301057	SRS2695998	RHM263_6h	147	RHM263_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038142	SRX3402012	RHM262_6h	1223	834	SRR6301058	SRS2695997	RHM262_6h	146	RHM262_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038141	SRX3402011	RHM260_6h	795	541	SRR6301059	SRS2695996	RHM260_6h	145	RHM260_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038140	SRX3402010	RHM253_6h	731	496	SRR6301060	SRS2695995	RHM253_6h	144	RHM253_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038139	SRX3402009	RHM246_6h	278	190	SRR6301061	SRS2695994	RHM246_6h	143	RHM246_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038138	SRX3402008	RHM245_6h	1683	1142	SRR6301062	SRS2695992	RHM245_6h	142	RHM245_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038062	SRX3402007	RHV127_0M_100k	1276	860	SRR6301063	SRS2695993	RHV127_0M_100k	69	RHV127_0M_100k	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038063	SRX3402006	RHV135_3M_100k	814	561	SRR6301064	SRS2695991	RHV135_3M_100k	69	RHV135_3M_100k	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038064	SRX3402005	RHV143_6M_100k	1361	921	SRR6301065	SRS2695990	RHV143_6M_100k	69	RHV143_6M_100k	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038065	SRX3402004	RHM342_12M_100k	1158	785	SRR6301066	SRS2695989	RHM342_12M_100k	69	RHM342_12M_100k	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038058	SRX3402003	RHV142_0M_10k	1269	866	SRR6301067	SRS2695988	RHV142_0M_10k	69	RHV142_0M_10k	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038059	SRX3402002	RHM341_3M_10k	1414	966	SRR6301068	SRS2695987	RHM341_3M_10k	69	RHM341_3M_10k	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038060	SRX3402001	RHM349_6M_10k	1675	1143	SRR6301069	SRS2695986	RHM349_6M_10k	69	RHM349_6M_10k	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038061	SRX3402000	RHM357_12M_10k	1338	913	SRR6301070	SRS2695985	RHM357_12M_10k	69	RHM357_12M_10k	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038066	SRX3401999	RHM216_0h	553	378	SRR6301071	SRS2695984	RHM216_0h	70	RHM216_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038067	SRX3401998	RHM218_0h	501	340	SRR6301072	SRS2695983	RHM218_0h	71	RHM218_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038068	SRX3401997	RHM220_0h	543	375	SRR6301073	SRS2695982	RHM220_0h	72	RHM220_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038069	SRX3401996	RHM226_0h	505	342	SRR6301074	SRS2695981	RHM226_0h	73	RHM226_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038070	SRX3401995	RHM232_0h	544	372	SRR6301075	SRS2695980	RHM232_0h	74	RHM232_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038071	SRX3401994	RHM233_0h	463	315	SRR6301076	SRS2695979	RHM233_0h	75	RHM233_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038072	SRX3401993	RHM240_0h	309	211	SRR6301077	SRS2695978	RHM240_0h	76	RHM240_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038073	SRX3401992	RHM242_0h	651	440	SRR6301078	SRS2695977	RHM242_0h	77	RHM242_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038074	SRX3401991	RHM248_0h	643	436	SRR6301079	SRS2695976	RHM248_0h	78	RHM248_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038075	SRX3401990	RHM251_0h	808	550	SRR6301080	SRS2695975	RHM251_0h	79	RHM251_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038076	SRX3401989	RHM256_0h	683	463	SRR6301081	SRS2695974	RHM256_0h	80	RHM256_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038077	SRX3401988	RHM259_0h	604	412	SRR6301082	SRS2695973	RHM259_0h	81	RHM259_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038148	SRX3401987	RHM300_6h	860	587	SRR6301083	SRS2695972	RHM300_6h	152	RHM300_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038149	SRX3401986	RHM301_6h	785	535	SRR6301084	SRS2695971	RHM301_6h	153	RHM301_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038150	SRX3401985	RHM303_6h	757	517	SRR6301085	SRS2695970	RHM303_6h	154	RHM303_6h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038087	SRX3401984	RHM217_12h	681	463	SRR6301086	SRS2695969	RHM217_12h	91	RHM217_12h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038086	SRX3401983	RHM307_0h	617	427	SRR6301087	SRS2695968	RHM307_0h	90	RHM307_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038083	SRX3401982	RHM298_0h	591	400	SRR6301088	SRS2695967	RHM298_0h	87	RHM298_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038082	SRX3401981	RHM296_0h	221	153	SRR6301089	SRS2695966	RHM296_0h	86	RHM296_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038085	SRX3401980	RHM304_0h	271	188	SRR6301090	SRS2695965	RHM304_0h	89	RHM304_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038084	SRX3401979	RHM299_0h	570	388	SRR6301091	SRS2695964	RHM299_0h	88	RHM299_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038079	SRX3401978	RHM282_0h	661	445	SRR6301092	SRS2695963	RHM282_0h	83	RHM282_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038078	SRX3401977	RHM280_0h	96	66	SRR6301093	SRS2695962	RHM280_0h	82	RHM280_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038081	SRX3401976	RHM290_0h	557	382	SRR6301094	SRS2695961	RHM290_0h	85	RHM290_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038080	SRX3401975	RHM289_0h	607	414	SRR6301095	SRS2695960	RHM289_0h	84	RHM289_0h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
